kalimat,intent
Cara reservasi ruang study buddy,study_buddy
Saya ingin pesan study room,study_buddy
Berapa kapasitas ruang study buddy,study_buddy
Fasilitas apa saja di study buddy,study_buddy
Jam berapa bisa booking ruang study buddy,study_buddy
Bagaimana cara memesan ruang belajar,study_buddy
Prosedur booking ruang diskusi perpustakaan,study_buddy
Cara reservasi ruangan untuk belajar bersama,study_buddy
Bagaimana status akreditasi perpustakaan,akreditasi
Apakah perpustakaan sudah terakreditasi,akreditasi
Di mana bisa lihat sertifikat akreditasi perpustakaan,akreditasi
Apa standar perpustakaan BPK RI,akreditasi
Apakah perpustakaan memiliki akreditasi nasional,akreditasi
Bagaimana kualitas perpustakaan BPK RI,akreditasi
Perpustakaan BPK RI sudah terakreditasi belum,akreditasi
Sertifikasi apa yang dimiliki perpustakaan,akreditasi
Apakah perpustakaan sudah berstandar nasional,akreditasi
Akreditasi perpustakaan BPK RI apa,akreditasi
Nomor telepon perpustakaan BPK RI berapa,kontak
Apa email perpustakaan BPK RI,kontak
Bagaimana cara menghubungi perpustakaan,kontak
Kontak perpustakaan BPK RI,kontak
Siapa contact person perpustakaan,kontak
Ada whatsapp perpustakaan tidak,kontak
Nomor yang bisa dihubungi perpustakaan,kontak
Cara menghubungi petugas perpustakaan,kontak
Email resmi perpustakaan BPK RI,kontak
Alamat email perpustakaan untuk dihubungi,kontak
Cara daftar menjadi anggota perpustakaan,keanggotaan
Syarat menjadi anggota perpustakaan,keanggotaan
Bagaimana cara pendaftaran member perpustakaan,keanggotaan
Berapa biaya keanggotaan perpustakaan,keanggotaan
Kartu anggota saya hilang bagaimana,keanggotaan
Cara perpanjang keanggotaan perpustakaan,keanggotaan
Prosedur mendaftar anggota perpustakaan,keanggotaan
Apa saja syarat pendaftaran anggota,keanggotaan
Bagaimana cara membuat kartu anggota,keanggotaan
Cara registrasi sebagai anggota perpustakaan,keanggotaan
Berapa denda jika telat mengembalikan buku,denda
Berapa biaya denda keterlambatan,denda
Denda perpustakaan berapa per hari,denda
Sanksi jika terlambat mengembalikan buku,denda
Bagaimana cara membayar denda perpustakaan,denda
Denda buku terlambat berapa rupiah,denda
Jika telat kembalikan buku kena denda berapa,denda
Cara bayar denda keterlambatan buku,denda
Apakah ada denda jika buku terlambat dikembalikan,denda
Berapa biaya denda buku per hari,denda
Halo selamat pagi,salam
Hai ada yang bisa dibantu,salam
Hi selamat siang,salam
Hello perpustakaan,salam
Selamat pagi,salam
Selamat siang,salam
Selamat sore,salam
Selamat malam,salam
Assalamualaikum,salam
Halo PUSPA,salam
Terima kasih informasinya,terima_kasih
Makasih ya,terima_kasih
Thanks banyak,terima_kasih
Thank you,terima_kasih
Terimakasih banyak,terima_kasih
Makasih atas bantuannya,terima_kasih
Terima kasih sudah membantu,terima_kasih
Thanks atas informasinya,terima_kasih
Terima kasih banyak ya,terima_kasih
Makasih infonya,terima_kasih
Saya ingin memberikan saran untuk perpustakaan,lainnya
Ada kritik dan saran untuk layanan,lainnya
Saya ingin menyampaikan feedback,lainnya
Ada keluhan terkait layanan perpustakaan,lainnya
Saya ingin komplain soal pelayanan,lainnya
Saran saya untuk perpustakaan BPK RI,lainnya
Ingin menyampaikan masukan untuk perpustakaan,lainnya
Ada yang ingin saya sampaikan sebagai feedback,lainnya
Perpustakaan perlu meningkatkan layanan,lainnya
Saya memiliki keluhan mengenai fasilitas,lainnya
Cara akses e-journal perpustakaan,layanan_digital
Layanan digital perpustakaan apa saja,layanan_digital
Akses SiPuspa online bagaimana,layanan_digital
Cara login SiPuspa,layanan_digital
Ada e-book di perpustakaan tidak,layanan_digital
Cara download e-book perpustakaan,layanan_digital
Cara menggunakan layanan digital perpustakaan,layanan_digital
Akses jurnal online perpustakaan,layanan_digital
Cara akses koleksi digital perpustakaan,layanan_digital
Portal digital perpustakaan BPK RI,layanan_digital
